id;run_name;run_date;distance;time;pace
1;optimize Bacon Rupee;2022-12-20;42661;9004;3773
2;Jewelery Trafficway;2022-12-19;83359;73585;39273
3;Rubber Cambridgeshire;2022-12-20;44823;44767;86004
4;Granite;2022-12-19;89465;50956;38122
5;Venezuela Michigan;2022-12-20;143;62825;54038
6;bifurcated deliverables;2022-12-20;50876;98097;38554
7;middleware Regional;2022-12-20;83542;3435;27451
8;hacking Cotton Avon;2022-12-19;85720;6984;42257
9;silver;2022-12-20;61346;77033;54381
10;Executive;2022-12-19;98102;81108;84891
